have	1315648 -> had,has,'ve,having,'s,'d,d,ve
★incompleteness	41 -> incompletenesses
inter-relate	41 -> inter-related,inter-relates
★jeering	41 -> jeerings
★juke	41 -> jukes
★junker	41 -> junkers
★kali	41 -> kalis
★keynesianism	41 -> keynesianisms
★kharkov	41 -> kharkovs
★kirkuk	41 -> kirkuks
★knapsack	41 -> knapsacks
★lazar	41 -> lazars
★lecturing	41 -> lecturings
★legionary	41 -> legionaries
★leibniz	41 -> leibnizs
★lightening	41 -> lightenings
luxuriate	41 -> luxuriating,luxuriated,luxuriates
★lysine	41 -> lysines
★macedon	41 -> macedons
★machiavelli	41 -> machiavellis
★mallon	41 -> mallons
★marcuse	41 -> marcuses
★marginalization	41 -> marginalizations
★marshmallow	41 -> marshmallows
★maser	41 -> masers
★mayan	41 -> mayans
★meditator	41 -> meditators
★midline	41 -> midlines
★midwest	41 -> midwests
★minotaur	41 -> minotaurs
misappropriate	41 -> misappropriated,misappropriating,misappropriates
★misreading	41 -> misreadings
★mistreatment	41 -> mistreatments
★moisturizer	41 -> moisturizers
★mutagenesis	41 -> mutageneses
★myopia	41 -> myopias
★nasturtium	41 -> nasturtiums
★nob	41 -> nobs
★non-book	41 -> non-books
★non-catholic	41 -> non-catholics
★non-literate	41 -> non-literates
★non-local	41 -> non-locals
★non-russian	41 -> non-russians
★nsw	41 -> nsws
★oncology	41 -> oncologies
★oregano	41 -> oreganoes
overplay	41 -> overplayed,overplaying,overplays
★parka	41 -> parkas
★pidgin	41 -> pidgins
★pil	41 -> pils
★pleb	41 -> plebs
politicise	41 -> politicised,politicising
★pronominal	41 -> pronominals
★proprietorship	41 -> proprietorships
★quarrying	41 -> quarryings
★quartzite	41 -> quartzites
★racegoer	41 -> racegoers
★ranting	41 -> rantings
★raper	41 -> rapers
reedy	41 -> reedier,reediest
★reinterpret	41 -> reinterprets
ret	41 -> rets,retting,retted
★roan	41 -> roans
★rounders	41 -> rounderss
★rumpus	41 -> rumpuss
★rundle	41 -> rundles
★sandrat	41 -> sandrats
★satrap	41 -> satraps
★self-disgust	41 -> self-disgusts
★semi-desert	41 -> semi-deserts
★shooe	41 -> shooed
★shopfront	41 -> shopfronts
★showjumping	41 -> showjumpings
★sienna	41 -> siennas
★simenon	41 -> simenons
simper	41 -> simpered,simpering,simpers
★sit-down	41 -> sit-downs
slake	41 -> slaking,slaked,slakes
★sneaking	41 -> sneakings
★sonority	41 -> sonorities
★sportsmanship	41 -> sportsmanships
spume	41 -> spumed,spuming,spumes
★streaming	41 -> streamings
★streptomycin	41 -> streptomycins
stultify	41 -> stultifying,stultified,stultifies
★sub-discipline	41 -> sub-disciplines
★super-power	41 -> super-powers
★suva	41 -> suvas
★ta-ta	41 -> ta-tas
★tajik	41 -> tajiks
★tarantula	41 -> tarantulas
★tearing	41 -> tearings
★teetotaller	41 -> teetotallers
★thoughtfulness	41 -> thoughtfulnesses
★threepenny	41 -> threepennies
thrum	41 -> thrummed,thrumming,thrums
★tie-back	41 -> tie-backs
★transformant	41 -> transformants
★troika	41 -> troikas
★trondheim	41 -> trondheims
★twa	41 -> twas
underpay	41 -> underpaid,underpaying,underpays
★unevenness	41 -> unevennesses
vacuume	41 -> vacuumed,vacuuming
★vagrancy	41 -> vagrancies
★versace	41 -> versaces
★wavefunction	41 -> wavefunctions
★wheal	41 -> wheals
★wyvern	41 -> wyverns
★yangtze	41 -> yangtzes
★yo-yo	41 -> yo-yos
★zaria	41 -> zarias
★academical	40 -> academicals
★adaption	40 -> adaptions
★adjuvant	40 -> adjuvants
★agribusiness	40 -> agribusinesses
★agriculturalist	40 -> agriculturalists
★all-seater	40 -> all-seaters
★androgyny	40 -> androgynies
★angora	40 -> angoras
★animator	40 -> animators
★anomie	40 -> anomies
★antioxidant	40 -> antioxidants
★aromatherapist	40 -> aromatherapists
★barbarity	40 -> barbarities
★beaux-art	40 -> beaux-arts
bedeck	40 -> bedecked,bedecking,bedecks
★blighter	40 -> blighters
★bluntness	40 -> bluntnesses
★boone	40 -> boones
★boozy	40 -> boozier
★brushwood	40 -> brushwoods
★bustard	40 -> bustards
★camelot	40 -> camelots
★carina	40 -> carinas
★carmine	40 -> carmines
★cartagena	40 -> cartagenas
★catkin	40 -> catkins
★chablis	40 -> chabliss
★changing-room	40 -> changing-rooms
cheapen	40 -> cheapened,cheapening,cheapens
★choirboy	40 -> choirboys
★cichlasoma	40 -> cichlasomas
cleat	40 -> cleats,cleated,cleating
★collectivization	40 -> collectivizations
★colloid	40 -> colloids
colore	40 -> colored,colores,coloring
★comforter	40 -> comforters
★conceptualisation	40 -> conceptualisations
★concierge	40 -> concierges
★conflation	40 -> conflations
★consignor	40 -> consignors
criminalise	40 -> criminalised,criminalising,criminalises
curtsey	40 -> curtseys,curtseying,curtseyed
★damson	40 -> damsons
★deferral	40 -> deferrals
★dejection	40 -> dejections
★denigration	40 -> denigrations
★dependability	40 -> dependabilities
★determiner	40 -> determiners
★diaghilev	40 -> diaghilevs
★dirge	40 -> dirges
★dissimilarity	40 -> dissimilarities
★elderflower	40 -> elderflowers
★electromagnetism	40 -> electromagnetisms
★enp	40 -> enps
★entailment	40 -> entailments
★eocene	40 -> eocenes
★epicentre	40 -> epicentres
★espana	40 -> espanas
★excreta	40 -> excretas
★f-16	40 -> f-16s
★five-man	40 -> five-men
★five-speed	40 -> five-speeds
★flab	40 -> flabbed
★fortnum	40 -> fortnums
★foundationalist	40 -> foundationalists
★frn	40 -> frns
★frostbite	40 -> frostbites
★fulford	40 -> fulfords
★gaap	40 -> gaaps
★gangland	40 -> ganglands
★gartner	40 -> gartners
★gauloise	40 -> gauloises
★geiger	40 -> geigers
★gentrification	40 -> gentrifications
★geomorphologist	40 -> geomorphologists
★giacometti	40 -> giacomettis
★globalization	40 -> globalizations
★gluon	40 -> gluons
★goby	40 -> gobies
★greening	40 -> greenings
★gur	40 -> gurs
guzzle	40 -> guzzling,guzzled,guzzles
hallow	40 -> hallows,hallowing,hallowed
★hallucinogenic	40 -> hallucinogenics
★haplotype	40 -> haplotypes
★hemifield	40 -> hemifields
hepe	40 -> hepes,heping
★hera	40 -> heras
hex	40 -> hexes,hexed,hexing
★hijacking	40 -> hijackings
★hin	40 -> hins
★hypodermic	40 -> hypodermics
★imi	40 -> imis
★immunohistochemistry	40 -> immunohistochemistries
★imping	40 -> impinging
★inflexion	40 -> inflexions
★insectivore	40 -> insectivores
instantiate	40 -> instantiated,instantiating,instantiates
★josephus	40 -> josephuss
★kirghizia	40 -> kirghizias
★kleiber	40 -> kleibers
★languor	40 -> languors
★lind	40 -> linds
★look-alike	40 -> look-alikes
★lux	40 -> luxes
★lyricist	40 -> lyricists
★macaroni	40 -> macaronis
★magnanimity	40 -> magnanimities
★maimed	40 -> maimeds
★majors	40 -> majorss
★maktoum	40 -> maktoums
★malcontent	40 -> malcontents
★manitoba	40 -> manitobas
★manzoni	40 -> manzonis
★milano	40 -> milanoes
★millilitre	40 -> millilitres
★minpin	40 -> minpins
★mobster	40 -> mobsters
★montevideo	40 -> montevideos
★moraine	40 -> moraines
★motorcycling	40 -> motorcyclings
★mujahedin	40 -> mujahedins
★murk	40 -> murks
★musky	40 -> muskier
★mycobacteria	40 -> mycobacterias
nark	40 -> narks,narked,narking
★navajo	40 -> navajos
★neighbourliness	40 -> neighbourlinesses
★newsline	40 -> newslines
★novgorod	40 -> novgorods
★nuffink	40 -> nuffinks
★opel	40 -> opels
★oration	40 -> orations
★orderliness	40 -> orderlinesses
★overlordship	40 -> overlordships
★papist	40 -> papists
★parnell	40 -> parnells
★participle	40 -> participles
★pensione	40 -> pensiones
permute	40 -> permuted,permutes,permuting
phalanx	40 -> phalanxes,phalanges
phantasy	40 -> phantasies,phantasied
★piccolo	40 -> piccolos
★polka	40 -> polkas
★prepayment	40 -> prepayments
★prize-giving	40 -> prize-givings
★progesterone	40 -> progesterones
proofread	40 -> proofreading,proofreads,proof-read,proof-reads,proof-reading
★prying	40 -> pryings
★psychopathology	40 -> psychopathologies
puree	40 -> purees,pureeing,pureed
★push-button	40 -> push-buttons
★quoit	40 -> quoits
re-emphasise	40 -> re-emphasised,re-emphasises,re-emphasising
re-name	40 -> re-named,re-naming
reconnect	40 -> reconnected,reconnecting,reconnects
★recuperation	40 -> recuperations
★redoubt	40 -> redoubts
refinance	40 -> refinancing,refinanced,refinances
★reflexivity	40 -> reflexivities
resubmit	40 -> resubmitted,resubmitting,resubmits,resubmiting,resubmited
revere	40 -> reveres,revering,revered
★ria	40 -> rias
★ribbing	40 -> ribbings
★right-angle	40 -> right-angles
★rioja	40 -> riojas
★rossiter	40 -> rossiters
scaremonger	40 -> scaremongering,scaremongers
★seafaring	40 -> seafarings
sensitize	40 -> sensitized,sensitizing,sensitizes
★shan	40 -> shans
★sorceress	40 -> sorceresses
★sparky	40 -> sparkier
★spendthrift	40 -> spendthrifts
★spoiling	40 -> spoilings
★sprat	40 -> sprats
★sputnik	40 -> sputniks
★squabbling	40 -> squabblings
★squeezing	40 -> squeezings
★ssa	40 -> ssas
★stamen	40 -> stamens
stratify	40 -> stratified,stratifying,stratifies
★strummer	40 -> strummers
stumpy	40 -> stumpies,stumpier,stumpiest
★sturgeon	40 -> sturgeons
★tabard	40 -> tabards
★tailback	40 -> tailbacks
★tallinn	40 -> tallinns
★tearoom	40 -> tearooms
★teleology	40 -> teleologies
★telephoto	40 -> telephotos
★teleprinter	40 -> teleprinters
★terrapin	40 -> terrapins
★threesome	40 -> threesomes
★toxicology	40 -> toxicologies
★transduction	40 -> transductions
★transom	40 -> transoms
treeline	40 -> treelined,treelines
★tricyclic	40 -> tricyclics
★trinidadian	40 -> trinidadians
★twitchy	40 -> twitchiest
uncurl	40 -> uncurled,uncurling,uncurls
★unemployable	40 -> unemployables
★unsuitability	40 -> unsuitabilities
★upholsterer	40 -> upholsterers
vend	40 -> vending,vends,vended
★ventricle	40 -> ventricles
★ver	40 -> vers
★vesta	40 -> vestas
★washing-machine	40 -> washing-machines
★whoo	40 -> whooing
★writhing	40 -> writhings
★xmas	40 -> xmass
★yore	40 -> yores
★achille	39 -> achilles
★aeschylus	39 -> aeschyluss
★all-black	39 -> all-blacks
★all-comer	39 -> all-comers
★allrounder	39 -> allrounders
★archdiocese	39 -> archdioceses
★axil	39 -> axils
★belloc	39 -> bellocs
★besot	39 -> besotted
bilberry	39 -> bilberries,bilberrying
blinker	39 -> blinkered,blinkering,blinkers
★bluebeard	39 -> bluebeards
★blueness	39 -> bluenesses
★bolero	39 -> boleros
brainstorm	39 -> brainstorming,brainstorms
★brummie	39 -> brummies
★buckthorn	39 -> buckthorns
★burberry	39 -> burberrys
★calabria	39 -> calabrias
★campfire	39 -> campfires
★cashew	39 -> cashews
★catalase	39 -> catalases
★caver	39 -> cavers
★chainsword	39 -> chainswords
★chairlift	39 -> chairlifts
★chamberlin	39 -> chamberlins
★chamomile	39 -> chamomiles
★checkerboard	39 -> checkerboards
★cheque-book	39 -> cheque-books
★clawback	39 -> clawbacks
★coleslaw	39 -> coleslaws
★collapsible	39 -> collapsibles
★colostomy	39 -> colostomies
★colouration	39 -> colourations
corbel	39 -> corbels,corbelled,corbelling
★cornishman	39 -> cornishmen
★covenantor	39 -> covenantors
★cracow	39 -> cracows
★crichton	39 -> crichtons
★cryptocoryne	39 -> cryptocorynes
★dairying	39 -> dairyings
★daler-rowney	39 -> daler-rowneys
★delphinium	39 -> delphiniums
★dilapidation	39 -> dilapidations
★dinucleotide	39 -> dinucleotides
★diptera	39 -> dipteras
★discriminant	39 -> discriminants
dissemble	39 -> dissembling,dissembled,dissembles
★divisor	39 -> divisors
djinn	39 -> djinns,djinn
★dorman	39 -> dormans
★dovecot	39 -> dovecots
★dusting	39 -> dustings
★electrolysis	39 -> electrolyses
embitter	39 -> embittered,embittering,embitters
★emg	39 -> emgs
ennoble	39 -> ennobled,ennobling,ennobles
envision	39 -> envisioned,envisioning,envisions
★erotica	39 -> eroticas
★ex-girlfriend	39 -> ex-girlfriends
★explication	39 -> explications
★eyeliner	39 -> eyeliners
★eyepiece	39 -> eyepieces
★farc	39 -> farcs
★femaleness	39 -> femalenesses
★floater	39 -> floaters
★forger	39 -> forgers
★foy	39 -> foys
★freestand	39 -> freestanding
frisky	39 -> friskier,friskiest
★gadfly	39 -> gadflies
★galapago	39 -> galapagos
★gasification	39 -> gasifications
★genuineness	39 -> genuinenesses
★gingham	39 -> ginghams
glug	39 -> glugs,glugged
★glycerol	39 -> glycerols
★godman	39 -> godmen
★gossamer	39 -> gossamers
★grantor	39 -> grantors
★granulation	39 -> granulations
★gunwale	39 -> gunwales
★haberma	39 -> habermas
★half-marathon	39 -> half-marathons
★handicapper	39 -> handicappers
★highlighting	39 -> highlightings
★hinde	39 -> hindes
★hoggart	39 -> hoggarts
★hymenoptera	39 -> hymenopteras
★hypotension	39 -> hypotensions
★hypoxia	39 -> hypoxias
impoverish	39 -> impoverishing,impoverishes,impoverished
★inappropriateness	39 -> inappropriatenesses
interlace	39 -> interlaced,interlacing,interlaces
★interleaf	39 -> interleaves
★interrogatory	39 -> interrogatories
★ivanov	39 -> ivanovs
★jamb	39 -> jambs
jammy	39 -> jammiest,jammier
★junket	39 -> junkets
★kale	39 -> kaled
★kappa	39 -> kappas
★kata	39 -> katas
★kerouac	39 -> kerouacs
★kingmaker	39 -> kingmakers
★krona	39 -> kronas
★lace-up	39 -> lace-ups
★lamarckian	39 -> lamarckians
★lance-corporal	39 -> lance-corporals
landslip	39 -> landslips,landslipping
★lapp	39 -> lapps
★leiden	39 -> leidens
★lotto	39 -> lottoes
★louisville	39 -> louisvilles
★magnificat	39 -> magnificats
★maidservant	39 -> maidservants
★maputo	39 -> maputoes
★masochist	39 -> masochists
★matador	39 -> matadors
★meals-on-wheel	39 -> meals-on-wheels
★meeting-place	39 -> meeting-places
metabolise	39 -> metabolised,metabolising
★methionine	39 -> methionines
★midstream	39 -> midstreams
★milliner	39 -> milliners
★milwaukee	39 -> milwaukees
★minicab	39 -> minicabs
★molasses	39 -> molassess
★moule	39 -> moules
★nameplate	39 -> nameplates
★niceness	39 -> nicenesses
★nonstop	39 -> nonstops
★odessa	39 -> odessas
★ordinand	39 -> ordinands
★outfield	39 -> outfields
★overpayment	39 -> overpayments
★oversupply	39 -> oversupplied
★pageantry	39 -> pageantries
★paladin	39 -> paladins
★pampa	39 -> pampas
★paraclete	39 -> paracletes
★parakeet	39 -> parakeets
★peirce	39 -> peirces
★pentateuch	39 -> pentateuches
★persuasiveness	39 -> persuasivenesses
★petit	39 -> petits
★petulance	39 -> petulances
★pointy	39 -> pointier
★poitier	39 -> poitiers
★poltergeist	39 -> poltergeists
★postern	39 -> posterns
★potentate	39 -> potentates
★pounder	39 -> pounders
★propagator	39 -> propagators
★protease	39 -> proteases
★psychotropic	39 -> psychotropics
★pynchon	39 -> pynchons
★raconteur	39 -> raconteurs
★raking	39 -> rakings
re-apply	39 -> re-applied,re-applying
re-design	39 -> re-designed,re-designing
re-start	39 -> re-started,re-starting,re-starts
★readout	39 -> readouts
reclassify	39 -> reclassified,reclassifying,reclassifies
reestablish	39 -> reestablished,reestablishing,reestablishes
★reformism	39 -> reformisms
★reinvestment	39 -> reinvestments
★relativist	39 -> relativists
★reproducibility	39 -> reproducibilities
★rewriting	39 -> rewritings
★roll-on	39 -> roll-ons
★rostock	39 -> rostocks
★roundness	39 -> roundnesses
salivate	39 -> salivated,salivating,salivates
★sancho	39 -> sanchos
★schoolmate	39 -> schoolmates
★scrivener	39 -> scriveners
★serine	39 -> serines
★shockwave	39 -> shockwaves
★shunting	39 -> shuntings
★silver-grey	39 -> silver-greys
★slicker	39 -> slickers
★solicitation	39 -> solicitations
★som	39 -> soms
★soporific	39 -> soporifics
★souffle	39 -> souffles
★southland	39 -> southlands
spangle	39 -> spangles,spangled,spangling
★speculum	39 -> specula
★squiggle	39 -> squiggles
★sterilization	39 -> sterilizations
★stinker	39 -> stinkers
★stockholding	39 -> stockholdings
★strainer	39 -> strainers
★sweetmeat	39 -> sweetmeats
★tabletop	39 -> tabletops
★tacitus	39 -> tacituss
★tactician	39 -> tacticians
★tailpiece	39 -> tailpieces
★tectonics	39 -> tectonicss
★theobald	39 -> theobalds
★tma	39 -> tmas
totalize	39 -> totalizing,totalized,totalizes
★triangulation	39 -> triangulations
★truthfulness	39 -> truthfulnesses
★tubercle	39 -> tubercles
★tutu	39 -> tutus
★ventriloquist	39 -> ventriloquists
★vice-marshal	39 -> vice-marshals
★vicomte	39 -> vicomtes
★vividness	39 -> vividnesses
★watchfulness	39 -> watchfulnesses
waterlog	39 -> waterlogging,waterlogged
★wheelwright	39 -> wheelwrights
★whinney	39 -> whinneying
★whitman	39 -> whitmen
★witticism	39 -> witticisms
★world-system	39 -> world-systems
★yucatan	39 -> yucatans
★acapulco	38 -> acapulcoes
actuate	38 -> actuated,actuates,actuating
★alhambra	38 -> alhambras
★allegheny	38 -> alleghenies
★angiosperm	38 -> angiosperms
★anteater	38 -> anteaters
★antipodean	38 -> antipodeans
★armadillo	38 -> armadillos
★auberge	38 -> auberges
★awfulness	38 -> awfulnesses
★bac	38 -> bacs
★bangalore	38 -> bangalores
★barbadian	38 -> barbadians
★bevy	38 -> bevies
blitze	38 -> blitzed,blitzing,blitzes
★bookbinder	38 -> bookbinders
★booklist	38 -> booklists
★boomer	38 -> boomers
★brier	38 -> briers
★broadwate	38 -> broadwater
★buildup	38 -> buildups
★burridge	38 -> burridges
★byng	38 -> byngs
★byproduct	38 -> byproducts
★cali	38 -> calis
★capper	38 -> cappers
★catacomb	38 -> catacombs
cay	38 -> cays,caies
★chicory	38 -> chicories
★chiropractic	38 -> chiropractics
chivvy	38 -> chivvied,chivvying,chivvies
chock	38 -> chocks,chocked,chocking
